lr;epoch;iteration;global_iteration
1.2130801687763714e-05;2;72;230
1.2183544303797469e-05;2;73;231
1.2236286919831224e-05;2;74;232
1.2289029535864979e-05;2;75;233
1.2341772151898735e-05;2;76;234
1.239451476793249e-05;2;77;235
1.2447257383966246e-05;2;78;236
1.25e-05;2;79;237
1.2552742616033755e-05;3;1;238
1.260548523206751e-05;3;2;239
1.2658227848101267e-05;3;3;240
1.2710970464135022e-05;3;4;241
1.2763713080168777e-05;3;5;242
1.2816455696202531e-05;3;6;243
1.2869198312236289e-05;3;7;244
1.2921940928270043e-05;3;8;245
1.2974683544303799e-05;3;9;246
1.3027426160337553e-05;3;10;247
1.308016877637131e-05;3;11;248
1.3132911392405065e-05;3;12;249
1.3185654008438819e-05;3;13;250
1.3238396624472573e-05;3;14;251
1.3291139240506329e-05;3;15;252
1.3343881856540087e-05;3;16;253
1.339662447257384e-05;3;17;254
1.3449367088607595e-05;3;18;255
1.3502109704641349e-05;3;19;256
1.3554852320675107e-05;3;20;257
1.3607594936708861e-05;3;21;258
1.3660337552742617e-05;3;22;259
1.3713080168776371e-05;3;23;260
1.3765822784810129e-05;3;24;261
1.3818565400843883e-05;3;25;262
1.3871308016877637e-05;3;26;263
1.3924050632911393e-05;3;27;264
1.3976793248945147e-05;3;28;265
1.4029535864978905e-05;3;29;266
1.4082278481012659e-05;3;30;267
1.4135021097046413e-05;3;31;268
1.4187763713080169e-05;3;32;269
1.4240506329113925e-05;3;33;270
1.429324894514768e-05;3;34;271
1.4345991561181435e-05;3;35;272
1.439873417721519e-05;3;36;273
1.4451476793248947e-05;3;37;274
1.4504219409282701e-05;3;38;275
1.4556962025316457e-05;3;39;276
1.4609704641350211e-05;3;40;277
1.4662447257383969e-05;3;41;278
1.4715189873417723e-05;3;42;279
1.4767932489451477e-05;3;43;280
1.4820675105485233e-05;3;44;281
1.4873417721518987e-05;3;45;282
1.4926160337552745e-05;3;46;283
1.4978902953586499e-05;3;47;284
1.5031645569620253e-05;3;48;285
1.5084388185654007e-05;3;49;286
1.5137130801687765e-05;3;50;287
1.5189873417721521e-05;3;51;288
1.5242616033755275e-05;3;52;289
1.529535864978903e-05;3;53;290
1.5348101265822787e-05;3;54;291
1.5400843881856543e-05;3;55;292
1.5453586497890295e-05;3;56;293
1.550632911392405e-05;3;57;294
1.5559071729957804e-05;3;58;295
1.5611814345991563e-05;3;59;296
1.566455696202532e-05;3;60;297
1.571729957805907e-05;3;61;298
1.5770042194092827e-05;3;62;299
1.5822784810126583e-05;3;63;300
1.587552742616034e-05;3;64;301
1.5928270042194095e-05;3;65;302
1.5981012658227848e-05;3;66;303
1.6033755274261607e-05;3;67;304
1.608649789029536e-05;3;68;305
1.6139240506329115e-05;3;69;306
1.6191983122362868e-05;3;70;307
1.6244725738396624e-05;3;71;308
