lr;epoch;iteration;global_iteration
4.9925595238095244e-05;11;55;671
5e-05;11;56;672
4.9991732804232805e-05;12;1;673
4.9983465608465614e-05;12;2;674
4.9975198412698416e-05;12;3;675
4.996693121693122e-05;12;4;676
4.995866402116403e-05;12;5;677
4.995039682539683e-05;12;6;678
4.994212962962963e-05;12;7;679
4.993386243386244e-05;12;8;680
4.9925595238095244e-05;12;9;681
4.9917328042328046e-05;12;10;682
4.990906084656085e-05;12;11;683
4.990079365079365e-05;12;12;684
4.989252645502645e-05;12;13;685
4.988425925925926e-05;12;14;686
4.9875992063492065e-05;12;15;687
4.986772486772487e-05;12;16;688
4.9859457671957676e-05;12;17;689
4.985119047619048e-05;12;18;690
4.984292328042328e-05;12;19;691
4.983465608465609e-05;12;20;692
4.982638888888889e-05;12;21;693
4.9818121693121695e-05;12;22;694
4.9809854497354504e-05;12;23;695
4.9801587301587306e-05;12;24;696
4.979332010582011e-05;12;25;697
4.978505291005292e-05;12;26;698
4.977678571428572e-05;12;27;699
4.976851851851852e-05;12;28;700
4.9760251322751325e-05;12;29;701
4.975198412698413e-05;12;30;702
4.974371693121693e-05;12;31;703
4.973544973544973e-05;12;32;704
4.972718253968254e-05;12;33;705
4.971891534391534e-05;12;34;706
4.9710648148148146e-05;12;35;707
4.9702380952380955e-05;12;36;708
4.969411375661376e-05;12;37;709
4.968584656084656e-05;12;38;710
4.967757936507937e-05;12;39;711
4.966931216931217e-05;12;40;712
4.966104497354497e-05;12;41;713
4.965277777777778e-05;12;42;714
4.9644510582010585e-05;12;43;715
4.963624338624339e-05;12;44;716
4.9627976190476196e-05;12;45;717
4.9619708994709e-05;12;46;718
4.96114417989418e-05;12;47;719
4.960317460317461e-05;12;48;720
4.959490740740741e-05;12;49;721
4.9586640211640215e-05;12;50;722
4.957837301587302e-05;12;51;723
4.957010582010582e-05;12;52;724
4.956183862433862e-05;12;53;725
4.955357142857143e-05;12;54;726
4.954530423280423e-05;12;55;727
4.9537037037037035e-05;12;56;728
4.9528769841269845e-05;13;1;729
4.952050264550265e-05;13;2;730
4.951223544973545e-05;13;3;731
4.950396825396826e-05;13;4;732
4.949570105820106e-05;13;5;733
4.948743386243386e-05;13;6;734
4.947916666666667e-05;13;7;735
4.9470899470899475e-05;13;8;736
4.946263227513228e-05;13;9;737
4.9454365079365086e-05;13;10;738
4.944609788359789e-05;13;11;739
4.943783068783069e-05;13;12;740
4.942956349206349e-05;13;13;741
4.94212962962963e-05;13;14;742
4.9413029100529105e-05;13;15;743
4.940476190476191e-05;13;16;744
4.939649470899471e-05;13;17;745
4.938822751322751e-05;13;18;746
4.937996031746032e-05;13;19;747
4.937169312169312e-05;13;20;748
4.9363425925925925e-05;13;21;749
4.9355158730158735e-05;13;22;750
4.934689153439154e-05;13;23;751
4.933862433862434e-05;13;24;752
4.933035714285715e-05;13;25;753
4.932208994708995e-05;13;26;754
4.931382275132275e-05;13;27;755
4.930555555555556e-05;13;28;756
4.9297288359788365e-05;13;29;757
4.928902116402117e-05;13;30;758
4.9280753968253976e-05;13;31;759
4.927248677248678e-05;13;32;760
4.926421957671958e-05;13;33;761
4.925595238095238e-05;13;34;762
4.9247685185185185e-05;13;35;763
4.923941798941799e-05;13;36;764
4.92311507936508e-05;13;37;765
4.92228835978836e-05;13;38;766
4.92146164021164e-05;13;39;767
4.9206349206349204e-05;13;40;768
4.919808201058201e-05;13;41;769
4.9189814814814815e-05;13;42;770
4.918154761904762e-05;13;43;771
4.917328042328043e-05;13;44;772
4.916501322751323e-05;13;45;773
4.915674603174603e-05;13;46;774
4.914847883597884e-05;13;47;775
4.914021164021164e-05;13;48;776
4.9131944444444445e-05;13;49;777
4.9123677248677254e-05;13;50;778
4.911541005291006e-05;13;51;779
4.910714285714286e-05;13;52;780
4.909887566137567e-05;13;53;781
